rsp,mtd,word,res
26,neutral,"Саш тебе чай или кофе?",1
26,neutral,"Саш Вам чай или кофе?",2
26,informal,"Жень передай хлеб пожалуйста.",1
26,informal,"Жень передайте хлеб пожалуйста",2
26,formal,"Валь ты получил(а) моё письмо?",1
26,formal,"Валь Вы получили моё письмо?",2
27,neutral,"Саш тебе чай или кофе?",1
27,neutral,"Саш Вам чай или кофе?",3
27,informal,"Жень передай хлеб пожалуйста.",1
27,informal,"Жень передайте хлеб пожалуйста",3
27,formal,"Валь ты получил(а) моё письмо?",1
27,formal,"Валь Вы получили моё письмо?",3
28,neutral,"Саш тебе чай или кофе?",1
28,neutral,"Саш Вам чай или кофе?",2
28,informal,"Жень передай хлеб пожалуйста.",1
28,informal,"Жень передайте хлеб пожалуйста",2
28,formal,"Валь ты получил(а) моё письмо?",1
28,formal,"Валь Вы получили моё письмо?",2
29,neutral,"Саш тебе чай или кофе?",1
29,neutral,"Саш Вам чай или кофе?",2
29,informal,"Жень передай хлеб пожалуйста.",1
29,informal,"Жень передайте хлеб пожалуйста",3
29,formal,"Валь ты получил(а) моё письмо?",1
29,formal,"Валь Вы получили моё письмо?",3
30,neutral,"Саш тебе чай или кофе?",1
30,neutral,"Саш Вам чай или кофе?",2
30,informal,"Жень передай хлеб пожалуйста.",1
30,informal,"Жень передайте хлеб пожалуйста",2
30,formal,"Валь ты получил(а) моё письмо?",1
30,formal,"Валь Вы получили моё письмо?",2
31,neutral,"Саш тебе чай или кофе?",1
31,neutral,"Саш Вам чай или кофе?",1
31,informal,"Жень передай хлеб пожалуйста.",1
31,informal,"Жень передайте хлеб пожалуйста",1
31,formal,"Валь ты получил(а) моё письмо?",1
31,formal,"Валь Вы получили моё письмо?",1
32,neutral,"Саш тебе чай или кофе?",1
32,neutral,"Саш Вам чай или кофе?",2
32,informal,"Жень передай хлеб пожалуйста.",1
32,informal,"Жень передайте хлеб пожалуйста",2
32,formal,"Валь ты получил(а) моё письмо?",1
32,formal,"Валь Вы получили моё письмо?",2
33,neutral,"Саш тебе чай или кофе?",1
33,neutral,"Саш Вам чай или кофе?",1
33,informal,"Жень передай хлеб пожалуйста.",1
33,informal,"Жень передайте хлеб пожалуйста",1
33,formal,"Валь ты получил(а) моё письмо?",1
33,formal,"Валь Вы получили моё письмо?",1
34,neutral,"Саш тебе чай или кофе?",1
34,neutral,"Саш Вам чай или кофе?",2
34,informal,"Жень передай хлеб пожалуйста.",2
34,informal,"Жень передайте хлеб пожалуйста",2
34,formal,"Валь ты получил(а) моё письмо?",1
34,formal,"Валь Вы получили моё письмо?",2
35,neutral,"Саш тебе чай или кофе?",1
35,neutral,"Саш Вам чай или кофе?",1
35,informal,"Жень передай хлеб пожалуйста.",3
35,informal,"Жень передайте хлеб пожалуйста",1
35,formal,"Валь ты получил(а) моё письмо?",3
35,formal,"Валь Вы получили моё письмо?",3
36,neutral,"Саш тебе чай или кофе?",1
36,neutral,"Саш Вам чай или кофе?",2
36,informal,"Жень передай хлеб пожалуйста.",1
36,informal,"Жень передайте хлеб пожалуйста",2
36,formal,"Валь ты получил(а) моё письмо?",1
36,formal,"Валь Вы получили моё письмо?",2
37,neutral,"Саш тебе чай или кофе?",1
37,neutral,"Саш Вам чай или кофе?",2
37,informal,"Жень передай хлеб пожалуйста.",1
37,informal,"Жень передайте хлеб пожалуйста",2
37,formal,"Валь ты получил(а) моё письмо?",1
37,formal,"Валь Вы получили моё письмо?",2
38,neutral,"Саш тебе чай или кофе?",1
38,neutral,"Саш Вам чай или кофе?",1
38,informal,"Жень передай хлеб пожалуйста.",1
38,informal,"Жень передайте хлеб пожалуйста",1
38,formal,"Валь ты получил(а) моё письмо?",1
38,formal,"Валь Вы получили моё письмо?",1
39,neutral,"Саш тебе чай или кофе?",1
39,neutral,"Саш Вам чай или кофе?",1
39,informal,"Жень передай хлеб пожалуйста.",1
39,informal,"Жень передайте хлеб пожалуйста",1
39,formal,"Валь ты получил(а) моё письмо?",1
39,formal,"Валь Вы получили моё письмо?",1
40,neutral,"Саш тебе чай или кофе?",2
40,neutral,"Саш Вам чай или кофе?",3
40,informal,"Жень передай хлеб пожалуйста.",2
40,informal,"Жень передайте хлеб пожалуйста",3
40,formal,"Валь ты получил(а) моё письмо?",2
40,formal,"Валь Вы получили моё письмо?",3
41,neutral,"Саш тебе чай или кофе?",1
41,neutral,"Саш Вам чай или кофе?",2
41,informal,"Жень передай хлеб пожалуйста.",1
41,informal,"Жень передайте хлеб пожалуйста",2
41,formal,"Валь ты получил(а) моё письмо?",1
41,formal,"Валь Вы получили моё письмо?",2
42,neutral,"Саш тебе чай или кофе?",1
42,neutral,"Саш Вам чай или кофе?",1
42,informal,"Жень передай хлеб пожалуйста.",1
42,informal,"Жень передайте хлеб пожалуйста",1
42,formal,"Валь ты получил(а) моё письмо?",1
42,formal,"Валь Вы получили моё письмо?",2
43,neutral,"Саш тебе чай или кофе?",1
43,neutral,"Саш Вам чай или кофе?",1
43,informal,"Жень передай хлеб пожалуйста.",1
43,informal,"Жень передайте хлеб пожалуйста",1
43,formal,"Валь ты получил(а) моё письмо?",1
43,formal,"Валь Вы получили моё письмо?",1
44,neutral,"Саш тебе чай или кофе?",1
44,neutral,"Саш Вам чай или кофе?",1
44,informal,"Жень передай хлеб пожалуйста.",1
44,informal,"Жень передайте хлеб пожалуйста",1
44,formal,"Валь ты получил(а) моё письмо?",1
44,formal,"Валь Вы получили моё письмо?",1
45,neutral,"Саш тебе чай или кофе?",2
45,neutral,"Саш Вам чай или кофе?",3
45,informal,"Жень передай хлеб пожалуйста.",1
45,informal,"Жень передайте хлеб пожалуйста",3
45,formal,"Валь ты получил(а) моё письмо?",1
45,formal,"Валь Вы получили моё письмо?",3
46,neutral,"Саш тебе чай или кофе?",1
46,neutral,"Саш Вам чай или кофе?",1
46,informal,"Жень передай хлеб пожалуйста.",1
46,informal,"Жень передайте хлеб пожалуйста",1
46,formal,"Валь ты получил(а) моё письмо?",1
46,formal,"Валь Вы получили моё письмо?",1
47,neutral,"Саш тебе чай или кофе?",1
47,neutral,"Саш Вам чай или кофе?",2
47,informal,"Жень передай хлеб пожалуйста.",1
47,informal,"Жень передайте хлеб пожалуйста",2
47,formal,"Валь ты получил(а) моё письмо?",1
47,formal,"Валь Вы получили моё письмо?",2
48,neutral,"Саш тебе чай или кофе?",1
48,neutral,"Саш Вам чай или кофе?",2
48,informal,"Жень передай хлеб пожалуйста.",1
48,informal,"Жень передайте хлеб пожалуйста",2
48,formal,"Валь ты получил(а) моё письмо?",1
48,formal,"Валь Вы получили моё письмо?",2
49,neutral,"Саш тебе чай или кофе?",1
49,neutral,"Саш Вам чай или кофе?",1
49,informal,"Жень передай хлеб пожалуйста.",1
49,informal,"Жень передайте хлеб пожалуйста",1
49,formal,"Валь ты получил(а) моё письмо?",1
49,formal,"Валь Вы получили моё письмо?",1
50,neutral,"Саш тебе чай или кофе?",1
50,neutral,"Саш Вам чай или кофе?",2
50,informal,"Жень передай хлеб пожалуйста.",1
50,informal,"Жень передайте хлеб пожалуйста",2
50,formal,"Валь ты получил(а) моё письмо?",1
50,formal,"Валь Вы получили моё письмо?",3
51,neutral,"Саш тебе чай или кофе?",1
51,neutral,"Саш Вам чай или кофе?",1
51,informal,"Жень передай хлеб пожалуйста.",1
51,informal,"Жень передайте хлеб пожалуйста",2
51,formal,"Валь ты получил(а) моё письмо?",2
51,formal,"Валь Вы получили моё письмо?",1
52,neutral,"Саш тебе чай или кофе?",1
52,neutral,"Саш Вам чай или кофе?",3
52,informal,"Жень передай хлеб пожалуйста.",1
52,informal,"Жень передайте хлеб пожалуйста",3
52,formal,"Валь ты получил(а) моё письмо?",1
52,formal,"Валь Вы получили моё письмо?",3
53,neutral,"Саш тебе чай или кофе?",1
53,neutral,"Саш Вам чай или кофе?",2
53,informal,"Жень передай хлеб пожалуйста.",1
53,informal,"Жень передайте хлеб пожалуйста",1
53,formal,"Валь ты получил(а) моё письмо?",1
53,formal,"Валь Вы получили моё письмо?",1
54,neutral,"Саш тебе чай или кофе?",1
54,neutral,"Саш Вам чай или кофе?",3
54,informal,"Жень передай хлеб пожалуйста.",1
54,informal,"Жень передайте хлеб пожалуйста",3
54,formal,"Валь ты получил(а) моё письмо?",1
54,formal,"Валь Вы получили моё письмо?",3
55,neutral,"Саш тебе чай или кофе?",1
55,neutral,"Саш Вам чай или кофе?",2
55,informal,"Жень передай хлеб пожалуйста.",1
55,informal,"Жень передайте хлеб пожалуйста",3
55,formal,"Валь ты получил(а) моё письмо?",1
55,formal,"Валь Вы получили моё письмо?",3
56,neutral,"Саш тебе чай или кофе?",1
56,neutral,"Саш Вам чай или кофе?",1
56,informal,"Жень передай хлеб пожалуйста.",1
56,informal,"Жень передайте хлеб пожалуйста",1
56,formal,"Валь ты получил(а) моё письмо?",1
56,formal,"Валь Вы получили моё письмо?",3
57,neutral,"Саш тебе чай или кофе?",1
57,neutral,"Саш Вам чай или кофе?",2
57,informal,"Жень передай хлеб пожалуйста.",1
57,informal,"Жень передайте хлеб пожалуйста",1
57,formal,"Валь ты получил(а) моё письмо?",1
57,formal,"Валь Вы получили моё письмо?",1
58,neutral,"Саш тебе чай или кофе?",1
58,neutral,"Саш Вам чай или кофе?",2
58,informal,"Жень передай хлеб пожалуйста.",1
58,informal,"Жень передайте хлеб пожалуйста",2
58,formal,"Валь ты получил(а) моё письмо?",1
58,formal,"Валь Вы получили моё письмо?",2
59,neutral,"Саш тебе чай или кофе?",1
59,neutral,"Саш Вам чай или кофе?",1
59,informal,"Жень передай хлеб пожалуйста.",1
59,informal,"Жень передайте хлеб пожалуйста",1
59,formal,"Валь ты получил(а) моё письмо?",1
59,formal,"Валь Вы получили моё письмо?",1
60,neutral,"Саш тебе чай или кофе?",1
60,neutral,"Саш Вам чай или кофе?",1
60,informal,"Жень передай хлеб пожалуйста.",1
60,informal,"Жень передайте хлеб пожалуйста",1
60,formal,"Валь ты получил(а) моё письмо?",1
60,formal,"Валь Вы получили моё письмо?",1
61,neutral,"Саш тебе чай или кофе?",1
61,neutral,"Саш Вам чай или кофе?",1
61,informal,"Жень передай хлеб пожалуйста.",1
61,informal,"Жень передайте хлеб пожалуйста",1
61,formal,"Валь ты получил(а) моё письмо?",1
61,formal,"Валь Вы получили моё письмо?",1
62,neutral,"Саш тебе чай или кофе?",1
62,neutral,"Саш Вам чай или кофе?",1
62,informal,"Жень передай хлеб пожалуйста.",1
62,informal,"Жень передайте хлеб пожалуйста",1
62,formal,"Валь ты получил(а) моё письмо?",1
62,formal,"Валь Вы получили моё письмо?",1
63,neutral,"Саш тебе чай или кофе?",1
63,neutral,"Саш Вам чай или кофе?",1
63,informal,"Жень передай хлеб пожалуйста.",1
63,informal,"Жень передайте хлеб пожалуйста",1
63,formal,"Валь ты получил(а) моё письмо?",1
63,formal,"Валь Вы получили моё письмо?",1
64,neutral,"Саш тебе чай или кофе?",1
64,neutral,"Саш Вам чай или кофе?",1
64,informal,"Жень передай хлеб пожалуйста.",1
64,informal,"Жень передайте хлеб пожалуйста",1
64,formal,"Валь ты получил(а) моё письмо?",1
64,formal,"Валь Вы получили моё письмо?",1
65,neutral,"Саш тебе чай или кофе?",1
65,neutral,"Саш Вам чай или кофе?",1
65,informal,"Жень передай хлеб пожалуйста.",1
65,informal,"Жень передайте хлеб пожалуйста",1
65,formal,"Валь ты получил(а) моё письмо?",1
65,formal,"Валь Вы получили моё письмо?",1
66,neutral,"Саш тебе чай или кофе?",1
66,neutral,"Саш Вам чай или кофе?",1
66,informal,"Жень передай хлеб пожалуйста.",1
66,informal,"Жень передайте хлеб пожалуйста",1
66,formal,"Валь ты получил(а) моё письмо?",2
66,formal,"Валь Вы получили моё письмо?",2
67,neutral,"Саш тебе чай или кофе?",1
67,neutral,"Саш Вам чай или кофе?",1
67,informal,"Жень передай хлеб пожалуйста.",1
67,informal,"Жень передайте хлеб пожалуйста",1
67,formal,"Валь ты получил(а) моё письмо?",1
67,formal,"Валь Вы получили моё письмо?",1
68,neutral,"Саш тебе чай или кофе?",1
68,neutral,"Саш Вам чай или кофе?",1
68,informal,"Жень передай хлеб пожалуйста.",1
68,informal,"Жень передайте хлеб пожалуйста",1
68,formal,"Валь ты получил(а) моё письмо?",1
68,formal,"Валь Вы получили моё письмо?",1
69,neutral,"Саш тебе чай или кофе?",1
69,neutral,"Саш Вам чай или кофе?",1
69,informal,"Жень передай хлеб пожалуйста.",1
69,informal,"Жень передайте хлеб пожалуйста",1
69,formal,"Валь ты получил(а) моё письмо?",1
69,formal,"Валь Вы получили моё письмо?",1
70,neutral,"Саш тебе чай или кофе?",1
70,neutral,"Саш Вам чай или кофе?",1
70,informal,"Жень передай хлеб пожалуйста.",1
70,informal,"Жень передайте хлеб пожалуйста",1
70,formal,"Валь ты получил(а) моё письмо?",1
70,formal,"Валь Вы получили моё письмо?",1
71,neutral,"Саш тебе чай или кофе?",1
71,neutral,"Саш Вам чай или кофе?",1
71,informal,"Жень передай хлеб пожалуйста.",1
71,informal,"Жень передайте хлеб пожалуйста",1
71,formal,"Валь ты получил(а) моё письмо?",1
71,formal,"Валь Вы получили моё письмо?",1
72,neutral,"Саш тебе чай или кофе?",1
72,neutral,"Саш Вам чай или кофе?",1
72,informal,"Жень передай хлеб пожалуйста.",1
72,informal,"Жень передайте хлеб пожалуйста",1
72,formal,"Валь ты получил(а) моё письмо?",1
72,formal,"Валь Вы получили моё письмо?",1
73,neutral,"Саш тебе чай или кофе?",1
73,neutral,"Саш Вам чай или кофе?",1
73,informal,"Жень передай хлеб пожалуйста.",1
73,informal,"Жень передайте хлеб пожалуйста",1
73,formal,"Валь ты получил(а) моё письмо?",1
73,formal,"Валь Вы получили моё письмо?",1
74,neutral,"Саш тебе чай или кофе?",1
74,neutral,"Саш Вам чай или кофе?",2
74,informal,"Жень передай хлеб пожалуйста.",1
74,informal,"Жень передайте хлеб пожалуйста",1
74,formal,"Валь ты получил(а) моё письмо?",1
74,formal,"Валь Вы получили моё письмо?",2
75,neutral,"Саш тебе чай или кофе?",1
75,neutral,"Саш Вам чай или кофе?",2
75,informal,"Жень передай хлеб пожалуйста.",1
75,informal,"Жень передайте хлеб пожалуйста",2
75,formal,"Валь ты получил(а) моё письмо?",1
75,formal,"Валь Вы получили моё письмо?",2
76,neutral,"Саш тебе чай или кофе?",1
76,neutral,"Саш Вам чай или кофе?",2
76,informal,"Жень передай хлеб пожалуйста.",1
76,informal,"Жень передайте хлеб пожалуйста",2
76,formal,"Валь ты получил(а) моё письмо?",1
76,formal,"Валь Вы получили моё письмо?",3
77,neutral,"Саш тебе чай или кофе?",1
77,neutral,"Саш Вам чай или кофе?",2
77,informal,"Жень передай хлеб пожалуйста.",1
77,informal,"Жень передайте хлеб пожалуйста",2
77,formal,"Валь ты получил(а) моё письмо?",1
77,formal,"Валь Вы получили моё письмо?",2
78,neutral,"Саш тебе чай или кофе?",1
78,neutral,"Саш Вам чай или кофе?",1
78,informal,"Жень передай хлеб пожалуйста.",1
78,informal,"Жень передайте хлеб пожалуйста",2
78,formal,"Валь ты получил(а) моё письмо?",1
78,formal,"Валь Вы получили моё письмо?",3
79,neutral,"Саш тебе чай или кофе?",1
79,neutral,"Саш Вам чай или кофе?",2
79,informal,"Жень передай хлеб пожалуйста.",1
79,informal,"Жень передайте хлеб пожалуйста",1
79,formal,"Валь ты получил(а) моё письмо?",1
79,formal,"Валь Вы получили моё письмо?",2
80,neutral,"Саш тебе чай или кофе?",1
80,neutral,"Саш Вам чай или кофе?",1
80,informal,"Жень передай хлеб пожалуйста.",1
80,informal,"Жень передайте хлеб пожалуйста",1
80,formal,"Валь ты получил(а) моё письмо?",1
80,formal,"Валь Вы получили моё письмо?",3
81,neutral,"Саш тебе чай или кофе?",1
81,neutral,"Саш Вам чай или кофе?",2
81,informal,"Жень передай хлеб пожалуйста.",1
81,informal,"Жень передайте хлеб пожалуйста",2
81,formal,"Валь ты получил(а) моё письмо?",1
81,formal,"Валь Вы получили моё письмо?",2
82,neutral,"Саш тебе чай или кофе?",1
82,neutral,"Саш Вам чай или кофе?",3
82,informal,"Жень передай хлеб пожалуйста.",1
82,informal,"Жень передайте хлеб пожалуйста",2
82,formal,"Валь ты получил(а) моё письмо?",1
82,formal,"Валь Вы получили моё письмо?",2
83,neutral,"Саш тебе чай или кофе?",1
83,neutral,"Саш Вам чай или кофе?",2
83,informal,"Жень передай хлеб пожалуйста.",1
83,informal,"Жень передайте хлеб пожалуйста",2
83,formal,"Валь ты получил(а) моё письмо?",1
83,formal,"Валь Вы получили моё письмо?",2
84,neutral,"Саш тебе чай или кофе?",1
84,neutral,"Саш Вам чай или кофе?",2
84,informal,"Жень передай хлеб пожалуйста.",1
84,informal,"Жень передайте хлеб пожалуйста",3
84,formal,"Валь ты получил(а) моё письмо?",1
84,formal,"Валь Вы получили моё письмо?",2
85,neutral,"Саш тебе чай или кофе?",1
85,neutral,"Саш Вам чай или кофе?",2
85,informal,"Жень передай хлеб пожалуйста.",1
85,informal,"Жень передайте хлеб пожалуйста",1
85,formal,"Валь ты получил(а) моё письмо?",1
85,formal,"Валь Вы получили моё письмо?",2
86,neutral,"Саш тебе чай или кофе?",1
86,neutral,"Саш Вам чай или кофе?",2
86,informal,"Жень передай хлеб пожалуйста.",1
86,informal,"Жень передайте хлеб пожалуйста",2
86,formal,"Валь ты получил(а) моё письмо?",1
86,formal,"Валь Вы получили моё письмо?",2
87,neutral,"Саш тебе чай или кофе?",1
87,neutral,"Саш Вам чай или кофе?",2
87,informal,"Жень передай хлеб пожалуйста.",2
87,informal,"Жень передайте хлеб пожалуйста",2
87,formal,"Валь ты получил(а) моё письмо?",2
87,formal,"Валь Вы получили моё письмо?",2
88,neutral,"Саш тебе чай или кофе?",1
88,neutral,"Саш Вам чай или кофе?",1
88,informal,"Жень передай хлеб пожалуйста.",1
88,informal,"Жень передайте хлеб пожалуйста",1
88,formal,"Валь ты получил(а) моё письмо?",1
88,formal,"Валь Вы получили моё письмо?",3
89,neutral,"Саш тебе чай или кофе?",1
89,neutral,"Саш Вам чай или кофе?",2
89,informal,"Жень передай хлеб пожалуйста.",1
89,informal,"Жень передайте хлеб пожалуйста",2
89,formal,"Валь ты получил(а) моё письмо?",1
89,formal,"Валь Вы получили моё письмо?",3
90,neutral,"Саш тебе чай или кофе?",1
90,neutral,"Саш Вам чай или кофе?",2
90,informal,"Жень передай хлеб пожалуйста.",1
90,informal,"Жень передайте хлеб пожалуйста",2
90,formal,"Валь ты получил(а) моё письмо?",1
90,formal,"Валь Вы получили моё письмо?",1
91,neutral,"Саш тебе чай или кофе?",1
91,neutral,"Саш Вам чай или кофе?",1
91,informal,"Жень передай хлеб пожалуйста.",1
91,informal,"Жень передайте хлеб пожалуйста",1
91,formal,"Валь ты получил(а) моё письмо?",1
91,formal,"Валь Вы получили моё письмо?",1
92,neutral,"Саш тебе чай или кофе?",1
92,neutral,"Саш Вам чай или кофе?",2
92,informal,"Жень передай хлеб пожалуйста.",1
92,informal,"Жень передайте хлеб пожалуйста",2
92,formal,"Валь ты получил(а) моё письмо?",1
92,formal,"Валь Вы получили моё письмо?",2
93,neutral,"Саш тебе чай или кофе?",1
93,neutral,"Саш Вам чай или кофе?",2
93,informal,"Жень передай хлеб пожалуйста.",1
93,informal,"Жень передайте хлеб пожалуйста",2
93,formal,"Валь ты получил(а) моё письмо?",1
93,formal,"Валь Вы получили моё письмо?",2
94,neutral,"Саш тебе чай или кофе?",1
94,neutral,"Саш Вам чай или кофе?",2
94,informal,"Жень передай хлеб пожалуйста.",1
94,informal,"Жень передайте хлеб пожалуйста",2
94,formal,"Валь ты получил(а) моё письмо?",1
94,formal,"Валь Вы получили моё письмо?",2
95,neutral,"Саш тебе чай или кофе?",1
95,neutral,"Саш Вам чай или кофе?",2
95,informal,"Жень передай хлеб пожалуйста.",2
95,informal,"Жень передайте хлеб пожалуйста",2
95,formal,"Валь ты получил(а) моё письмо?",1
95,formal,"Валь Вы получили моё письмо?",2
96,neutral,"Саш тебе чай или кофе?",1
96,neutral,"Саш Вам чай или кофе?",2
96,informal,"Жень передай хлеб пожалуйста.",1
96,informal,"Жень передайте хлеб пожалуйста",2
96,formal,"Валь ты получил(а) моё письмо?",1
96,formal,"Валь Вы получили моё письмо?",2
97,neutral,"Саш тебе чай или кофе?",3
97,neutral,"Саш Вам чай или кофе?",2
97,informal,"Жень передай хлеб пожалуйста.",1
97,informal,"Жень передайте хлеб пожалуйста",1
97,formal,"Валь ты получил(а) моё письмо?",1
97,formal,"Валь Вы получили моё письмо?",1
